,ProtoI-Ser,ProtoII-ser,ProtoI-Recv,ProtoII-Recv,ProtoI-RT,ProtoIIRT
Run1-4cms,42.3109,0.19,63.3611,32.1006,82.5908,68.1491
,44.2248,0.219484,57.9092,39.2324,82.693,67.738
,47.0652,0.144682,70.87,27.3219,84.324,69.5504
,43.6657,0.32564,56.2211,31.853,85.4955,71.4504
,44.0054,0.2376,68.543,32.3023,83.1453,68.9904
Average,44.2544,0.2234812,63.38088,32.56204,83.64972,69.17566
,,,,,,
Run2-8cms,356.643,2.76494,104.986,183.576,415.171,248.416
,317.947,2.84341,145.186,182.555,378.747,247.735
,321.244,2.4456,120.345,181.768,383.183,246.947
,323.878,2.67843,110.134,185.485,383.768,245.328
,317.548,2.52345,109.953,183.233,393.925,242.567
Average,327.452,2.651166,118.1208,183.3234,390.9588,246.1986
,,,,,,
Run3-12cms,1182.91,10.1954,1014.61,563.929,1288.99,701.853
,1176.47,12.5478,969.608,572.164,1283.56,688.234
,1072.39,8.435,839.308,558.243,1182.56,698.452
,1072.39,9.34235,979.345,564.556,1196.51,709.834
,1083.76,10.673,876.789,570.124,1254.5476,707.123
Average,1117.584,10.23871,935.932,565.8032,1241.23352,701.0992
,,,,,,
Run4-16cms,2849.73,23.7835,,1313.88,3314.81,1846.85
,3005.78,23.5944,,1300.21,3402.41,2076
,2818.15,22.644,,1317.45,3229.96,1764.7895
,3038.23,28.2432,,1310.34,3472.1,1978.345
,3041.52,21.978,,1302.89,3449.42,1876.234
Average,2950.682,24.04862,,1308.954,3373.74,1908.4437
