,ProtoI-Ser,ProtoII-ser,ProtoI-Recv,ProtoII-Recv,ProtoI-RT,ProtoIIRT,ProtoIDeSer,ProtoIIDeSer,ProtoIIDecomp,ProtoIIComp
Run1-4cms,42.3109,0.19,63.3611,32.1006,82.5908,68.1491,2.4896,0.116131,1.32949,0.749832
,44.2248,0.219484,57.9092,39.2324,82.693,67.738,1.72624,0.107135,1.2135,0.687784
,47.0652,0.144682,70.87,27.3219,84.324,69.5504,1.41562,0.108104,1.26159,0.812704
,43.6657,0.32564,36.7891,31.853,85.4955,71.4504,1.41181,0.103247,1.20931,0.781249
,44.0054,0.2376,32.54737,32.3023,83.1453,68.9904,1.7576,0.112476,1.22081,0.782419
Average,44.2544,0.2234812,52.295354,32.56204,83.64972,69.17566,1.760174,0.1094186,1.24694,0.7627976
,,,,,,,,,,
Run2-8cms,356.643,2.76494,327.114,183.576,415.171,248.416,7.11178,1.54094,9.67388,5.68852
,317.947,2.84341,327.99,182.555,378.747,247.735,6.10563,1.53424,9.60199,4.98496
,321.244,2.4456,323.553,181.768,383.183,246.947,6.16624,1.6345,9.75342,4.87456
,323.878,2.67843,313.453,185.485,383.768,245.328,7.4562,1.3451,9.23641,4.67434
,317.548,2.52345,333.653,183.233,393.925,242.567,6.6063,1.6578,9.54332,4.2341
Average,327.452,2.651166,325.1526,183.3234,390.9588,246.1986,6.68923,1.542516,9.561804,4.891296
,,,,,,,,,,
Run3-12cms,1182.91,10.1954,1014.61,563.929,1288.99,701.853,18.7797,5.96826,31.6573,18.4856
,1176.47,12.5478,969.608,572.164,1283.56,688.234,16.3253,5.959,31.9585,17.6742
,1072.39,8.435,839.308,558.243,1182.56,698.452,15.1231,5.40928,31.9789,17.5855
,1072.39,9.34235,979.345,564.556,1196.51,709.834,19.5676,5.87645,31.4567,17.3214
,1083.76,10.673,876.789,570.124,1254.5476,707.123,18.1289,5.32451,31.7864,17.5674
Average,1117.584,10.23871,935.932,565.8032,1241.23352,701.0992,17.58492,5.7075,31.76756,17.72682
,,,,,,,,,,
Run4-16cms,2849.73,23.7835,1272.06,1313.88,3314.81,1846.85,2187.27,16.4004,79.3686,46.2679
,3005.78,23.5944,1195.92,1300.21,3402.41,2076,1902.55,14.5155,76.3053,45.413
,2818.15,22.644,1186.11,1317.45,3229.96,1764.7895,1872.93,15.2134,76.3053,47.8117
,3038.23,28.2432,1220.456,1310.34,3472.1,1978.345,1952.67,16.5121,76.3053,47.7596
,3041.52,21.978,1183.678,1302.89,3449.42,1876.234,2087.712,18.2568,76.3053,44.3241
Average,2950.682,24.04862,1211.6448,1308.954,3373.74,1908.4437,2000.6264,16.17964,76.91796,46.31526
